"to_station","from_station","count"
"21st St & Penn Ave","North Shore Trail & Ft Duquesne Bridge",43
"Isabella St & Federal St","Ridge Ave & Brighton Rd (CCAC)",26
"Liberty Ave & Baum Blvd","Liberty Ave & Baum Blvd",153
"S 27th & Tunnel Blvd","Atwood St & Bates",71
"Atwood St & Bates","Bigelow Blvd & Fifth Ave",54
"Maryland Ave & Walnut St","Fifth Ave & S Bouquet",28
"12th St & Penn Ave","10th St & Penn Ave",34
"Federal St & E North Ave","12th St & Penn Ave",27
"Liberty & Stanwix","North Shore Trail & Ft Duquesne Bridge",100
"Isabella St & Federal St","42nd St & Butler St",88
"Ridge Ave & Brighton Rd (CCAC)","Forbes Ave & Market Sq",38
"S 22nd St & E Carson St","Stevenson St & Forbes Ave",43
"S 27th & Tunnel Blvd","North Shore Trail & Ft Duquesne Bridge",38
"Penn Ave & N Fairmount St","Ivy St & Walnut St",31
"Boulevard of the Allies & Parkview Ave","Coltart Ave & Forbes Ave",69
"42nd St & Butler St","Fort Duquesne Blvd & 7th",51
"10th St & Penn Ave","Forbes Ave & Grant St",28
"42nd St & Butler St","Forbes Ave & Market Sq",79
"S 27th & Tunnel Blvd","Zulema St & Coltart Ave",70
"Unknown","Schenley Dr at Schenley Plaza",1383
"Bigelow Blvd & Fifth Ave","Fifth Ave & S Bouquet",27
"17th St & Penn Ave","Forbes Ave & Grant St",27
"Maryland Ave & Walnut St","Maryland Ave & Walnut St",144
"S 12th St & E Carson St","North Shore Trail & Ft Duquesne Bridge",42
"First Ave & B St","First Ave & B St",527
"Maryland Ave & Walnut St","First Ave & B St",37
"Ridge Ave & Brighton Rd (CCAC)","Fort Duquesne Blvd & 7th",26
"S 22nd St & E Carson St","Forbes Ave & Market Sq",46
"Bigelow Blvd & Fifth Ave","Liberty Ave & Baum Blvd",42
"S 27th & Tunnel Blvd","S 22nd St & E Carson St",82
"North Shore Trail & Ft Duquesne Bridge","Forbes Ave & Market Sq",118
"Liberty & Stanwix","S 22nd St & E Carson St",79
"Ellsworth Ave & N Neville St","Frew St & Schenley Dr",56
"Liberty & Stanwix","42nd St & Butler St",30
"Isabella St & Federal St","North Shore Trail & Ft Duquesne Bridge",76
"North Shore Trail & Ft Duquesne Bridge","Fort Duquesne Blvd & 7th",45
"S 12th St & E Carson St","S 22nd St & E Carson St",103
"Stevenson St & Forbes Ave","Fifth Ave & S Bouquet",57
"Liberty Ave & S Millvale","Ivy St & Walnut St",29
"Forbes Ave & Market Sq","Centre Ave and Consol",40
"Penn Ave & Putnam St (Bakery Sq)","Ellsworth Ave & N Neville St",29
"17th St & Penn Ave","Fort Duquesne Blvd & 7th",52
"Federal St & E North Ave","Federal St & E North Ave",460
"Alder St & S Higland Ave","Maryland Ave & Ellsworth Ave",32
"10th St & Penn Ave","Fort Duquesne Blvd & 7th",62
"37th St & Butler St","42nd St & Butler St",60
