"date_part","count"
1441929600,18
1441933200,12
1441936800,12
1441940400,18
1441944000,9
1441947600,7
1441951200,2
1441954800,2
1441958400,2
1441965600,3
1441969200,4
1441972800,20
1441976400,19
1441980000,14
1441983600,14
1441987200,19
1441990800,28
1441994400,17
1441998000,9
1442001600,29
1442005200,36
1442008800,41
1442012400,34
1442016000,38
1442019600,24
1442023200,11
1442026800,16
1442030400,7
1442034000,5
1442037600,8
1442041200,4
1442044800,1
1442055600,2
1442059200,3
1442066400,1
1442070000,13
1442073600,7
1442077200,19
1442080800,24
1442084400,21
1442088000,16
1442091600,2
1442095200,6
1442098800,9
1442102400,5
1442106000,1
1442109600,4
1442113200,5
1442116800,4
1442120400,3
1442131200,1
1442134800,6
1442142000,3
1442149200,3
1442152800,14
1442156400,17
1442160000,24
1442163600,13
1442167200,17
1442170800,30
1442174400,22
1442178000,26
1442181600,11
1442185200,27
1442188800,11
1442192400,9
1442196000,1
1442199600,5
1442203200,1
1442206800,3
1442210400,2
1442224800,6
1442228400,4
1442232000,14
1442235600,24
1442239200,14
1442242800,13
1442246400,13
1442250000,11
1442253600,16
1442257200,19
1442260800,18
1442264400,33
1442268000,44
1442271600,40
1442275200,37
1442278800,18
1442282400,4
1442286000,3
1442289600,5
1442293200,2
1442296800,2
1442311200,3
1442314800,5
1442318400,16
1442322000,23
1442325600,16
1442329200,17
1442332800,8
1442336400,46
1442340000,27
1442343600,23
1442347200,22
1442350800,31
1442354400,36
1442358000,46
1442361600,24
1442365200,19
1442368800,15
1442372400,19
1442376000,3
1442379600,6
1442383200,1
1442397600,3
1442401200,3
1442404800,13
1442408400,25
1442412000,5
1442415600,14
1442419200,21
1442422800,27
1442426400,30
1442430000,13
1442433600,30
1442437200,30
1442440800,40
1442444400,58
1442448000,29
1442451600,18
1442455200,16
1442458800,13
1442462400,18
1442466000,4
1442484000,3
1442487600,2
1442491200,24
1442494800,26
1442498400,21
1442502000,17
1442505600,16
1442509200,28
1442512800,24
1442516400,20
1442520000,17
1442523600,27
1442527200,41
1442530800,38
1442534400,27
1442538000,15
1442541600,14
1442545200,7
1442548800,8
1442552400,2
1442556000,1
1442563200,1
1442566800,1
1442570400,2
1442574000,3
1442577600,16
1442581200,33
1442584800,12
1442588400,16
1442592000,20
1442595600,22
1442599200,32
1442602800,32
1442606400,18
1442610000,38
1442613600,40
1442617200,32
1442620800,26
1442624400,19
1442628000,9
1442631600,18
1442635200,14
1442638800,15
1442642400,9
1442646000,6
1442649600,4
1442656800,3
1442660400,3
1442664000,7
1442667600,18
1442671200,20
1442674800,32
1442678400,66
1442682000,67
1442685600,72
1442689200,54
1442692800,64
1442696400,66
1442700000,33
1442703600,21
1442707200,4
1442710800,3
1442714400,6
1442718000,5
1442721600,6
1442725200,6
1442728800,4
1442732400,2
1442736000,4
1442739600,5
1442746800,3
1442750400,2
1442754000,7
1442757600,21
1442761200,35
1442764800,42
1442768400,32
1442772000,36
1442775600,50
1442779200,37
1442782800,42
1442786400,58
1442790000,32
1442793600,17
1442797200,16
1442800800,11
1442804400,11
1442808000,4
1442811600,4
1442815200,1
1442818800,4
1442826000,1
1442829600,4
1442833200,5
1442836800,17
1442840400,16
1442844000,13
1442847600,18
1442851200,21
1442854800,26
1442858400,18
1442862000,23
1442865600,21
1442869200,40
1442872800,37
1442876400,28
1442880000,20
1442883600,3
1442887200,4
1442890800,6
1442894400,5
1442898000,4
1442912400,1
1442916000,2
1442919600,7
1442923200,12
1442926800,24
1442930400,17
1442934000,12
1442937600,14
1442941200,25
1442944800,15
1442948400,25
1442952000,18
1442955600,26
1442959200,40
1442962800,44
1442966400,23
1442970000,15
1442973600,5
1442977200,5
1442984400,2
1442991600,1
1442995200,1
1443002400,3
1443006000,8
1443009600,13
1443013200,23
1443016800,20
1443020400,11
1443024000,23
1443027600,24
1443031200,28
1443034800,19
1443038400,26
1443042000,31
1443045600,54
1443049200,48
1443052800,29
1443056400,10
1443060000,13
1443063600,13
1443067200,6
1443070800,5
1443074400,1
1443088800,3
1443092400,6
1443096000,15
1443099600,27
1443103200,23
1443106800,21
1443110400,22
1443114000,29
1443117600,24
1443121200,32
1443124800,23
1443128400,26
1443132000,36
1443135600,55
1443139200,29
1443142800,28
1443146400,6
1443150000,15
1443153600,2
1443157200,11
1443164400,1
1443175200,2
1443178800,2
1443182400,11
1443186000,37
1443189600,15
1443193200,15
1443196800,28
1443200400,27
1443204000,43
1443207600,54
1443211200,34
1443214800,54
1443218400,42
1443222000,65
1443225600,32
1443229200,24
1443232800,21
1443236400,11
1443240000,12
1443243600,16
1443247200,11
1443250800,3
1443258000,2
1443261600,1
1443265200,3
1443268800,8
1443272400,19
1443276000,19
1443279600,35
1443283200,35
1443286800,52
1443290400,49
1443294000,50
1443297600,63
1443301200,39
1443304800,39
1443308400,44
1443312000,23
1443315600,3
1443319200,14
1443322800,13
1443326400,9
1443330000,9
1443333600,5
1443340800,3
1443351600,3
1443355200,4
1443358800,29
1443362400,26
1443366000,46
1443369600,46
1443373200,28
1443376800,27
1443380400,31
1443384000,28
1443387600,32
1443391200,27
1443394800,35
1443398400,10
1443402000,8
1443405600,4
1443409200,5
1443416400,2
1443430800,1
1443434400,3
1443438000,1
1443441600,7
1443445200,7
1443448800,4
1443452400,4
1443456000,8
1443459600,7
1443463200,9
1443466800,12
1443470400,16
1443474000,16
1443477600,31
1443481200,23
1443484800,30
1443488400,8
1443492000,11
1443495600,8
1443499200,12
1443517200,1
1443520800,2
1443524400,1
1443528000,10
1443531600,16
1443535200,13
1443538800,7
1443546000,2
1443549600,2
1443553200,1
1443556800,1
1443560400,3
1443564000,8
1443567600,1
1443592800,1
1443596400,2
1443607200,1
1443610800,3
1443614400,11
1443618000,22
1443621600,13
1443625200,13
1443628800,22
1443632400,13
1443636000,8
1443639600,14
1443643200,12
1443646800,24
1443650400,49
1443675600,3
1443686400,1
1443693600,2
1443697200,1
1443700800,13
1443704400,26
1443708000,15
1443711600,24
1443715200,12
1443718800,20
